STATE,STATE Name,CNTY,CNTY Name,Deleted,Valid Until,Type
08,Niigata / 新潟,08009,Nakakambara / 中蒲原,true,"Dec.31,2005,Gun
08,Niigata / 新潟,0801,Niigata / 新潟,false,,City
08,Niigata / 新潟,08010,Nakakubiki / 中頸城,true,"Mar.31,2005",Gun
08,Niigata / 新潟,080101,Kita / 北,false,,Ku
08,Niigata / 新潟,080102,Higashi / 東,false,,Ku
08,Niigata / 新潟,080103,Chuo / 中央,false,,Ku
08,Niigata / 新潟,080104,Konan / 江南,false,,Ku
08,Niigata / 新潟,080105,Akiha / 秋葉,false,,Ku
08,Niigata / 新潟,080106,Minami / 南,false,,Ku
08,Niigata / 新潟,080107,Nishi / 西,false,,Ku
08,Niigata / 新潟,080108,Nishikan / 西蒲,false,,Ku
08,Niigata / 新潟,08011,Nishikambara / 西蒲原,false,,Gun
08,Niigata / 新潟,08012,Nishikubiki / 西頸城,true,"Mar.18,2005",Gun
08,Niigata / 新潟,08013,Higashikambara / 東蒲原,false,,Gun
08,Niigata / 新潟,08014,Higashikubiki / 東頸城,true,"Mar.31,2005",Gun
08,Niigata / 新潟,08015,Minamiuonuma / 南魚沼,false,,Gun
08,Niigata / 新潟,08016,Minamikambara / 南蒲原,false,,Gun
08,Niigata / 新潟,0802,Nagaoka / 長岡,false,,City
08,Niigata / 新潟,0803,Takada / 高田,true,"Apr.28,1971",City
08,Niigata / 新潟,0804,Sanjo / 三条,false,,City
08,Niigata / 新潟,0805,Kashiwazaki / 柏崎,false,,City
08,Niigata / 新潟,0806,Shibata / 新発田,false,,City
08,Niigata / 新潟,0807,Niitsu / 新津,true,"Mar.20,2005",City
08,Niigata / 新潟,0808,Ojiya / 小千谷,false,,City
08,Niigata / 新潟,0809,Kamo / 加茂,false,,City
08,Niigata / 新潟,0810,Tokamachi / 十日町,false,,City
08,Niigata / 新潟,0811,Mitsuke / 見附,false,,City
08,Niigata / 新潟,0812,Murakami / 村上,false,,City
08,Niigata / 新潟,0813,Tsubame / 燕,false,,City
